,code,decileMarch20,decileMarch24,scoreMarch20,scoreMarch24,score_change,score_change_code
24177,E01015377,7,6,31.0965446,29.44662811,-5.305787237,4
5470,E01026800,1,1,17.5001691,16.57172416,-5.305348385,4
15208,E01029720,4,4,24.4194747,23.12451128,-5.302994576,4
26046,E01014676,7,7,32.932371,31.18624315,-5.302162575,4
2455,E01010069,0,0,14.1998877,13.44719805,-5.300673282,4
4969,E01008302,1,1,17.0189766,16.11717364,-5.298808381,4
33489,E01018678,9,9,55.3938197,52.45963083,-5.296960727,4
22213,E01000881,6,6,29.3982882,27.84157743,-5.295242888,4
30674,E01031752,9,8,39.7781066,37.67224804,-5.294014076,4
18496,E01016360,5,5,26.658596,25.24734277,-5.293801768,4
19491,E01020692,5,5,27.3872967,25.93749899,-5.293686813,4
11378,E01035230,3,3,21.8327174,20.67738416,-5.291751905,4
10507,E01003391,3,3,21.2550919,20.13038077,-5.291490329,4
27035,E01016198,8,7,34.0272296,32.22704445,-5.29042525,4
1014,E01021097,0,0,11.2806262,10.68385815,-5.290203252,4
15235,E01031060,4,4,24.4356026,23.1431389,-5.289264675,4
15685,E01016841,4,4,24.7566081,23.44768161,-5.287180242,4
1970,E01020700,0,0,13.4158396,12.70668055,-5.285983394,4
32290,E01030967,9,9,44.636702,42.27767065,-5.284958893,4
27246,E01032623,8,7,34.2722897,32.46167296,-5.28303406,4
16159,E01034329,4,4,25.0656164,23.74201016,-5.28056528,4
21392,E01002643,6,6,28.7913939,27.27106915,-5.2804833,4
28360,E01016197,8,8,35.703819,33.81869753,-5.279887492,4
3270,E01029013,0,1,15.2669082,14.46103502,-5.278561792,4
1998,E01021348,0,0,13.4774292,12.76611089,-5.277848612,4
29792,E01003821,8,8,37.9644522,35.96096068,-5.277282837,4
14472,E01009793,4,4,23.9158307,22.65398104,-5.276210888,4
20701,E01005358,6,5,28.2495395,26.75924838,-5.275452807,4
21811,E01003653,6,6,29.114885,27.57895497,-5.275411616,4
17535,E01005449,5,5,25.9936246,24.62271343,-5.274028498,4
6438,E01014571,1,2,18.3342439,17.36746473,-5.273079023,4
27148,E01006745,8,7,34.1516594,32.3509038,-5.272820212,4
23496,E01003239,6,6,30.4811978,28.87460765,-5.270757916,4
29459,E01006161,8,8,37.3772415,35.40738165,-5.270211952,4
12977,E01013356,3,3,22.9156371,21.70823941,-5.268881161,4
